Severity,Temperature,General_Time,Latitude,Longitude
3,45,11,47.8,-122.2
3,45,11,47.5,-122.2
3,45,11,47.5,-122.2
3,45,11,47.5,-122.3
2,45,12,47.6,-122.9
2,50,12,47.5,-122.3
2,50,12,47.5,-122.3
2,50,13,47.7,-122.3
2,50,13,47.4,-122
3,50,13,47.6,-122.2
2,50,13,47.6,-122.3
2,50,14,47.6,-122.3
2,50,14,47.6,-122.3
2,50,14,47.6,-122.3
2,50,14,47.6,-122.3
2,50,15,47.5,-122.3
2,45,15,47.7,-122.3
2,45,15,47.6,-122.4
2,45,15,47.5,-122.4
2,45,15,47.5,-122.3
2,35,17,47.7,-117.4
2,45,17,47.7,-122.3
2,35,17,47.7,-117.4
2,45,17,47.4,-122.3
3,45,18,47.8,-122.3
3,45,18,47.6,-122.2
2,45,18,47.6,-122.3
2,40,18,47.7,-117.4
2,45,18,47.7,-122.3
2,45,18,47.7,-122.3
3,50,18,47.5,-122.3
2,45,19,47.8,-122.3
2,45,19,47.9,-122
3,45,19,47.5,-122.2
2,45,19,47.8,-122.1
3,50,20,47.6,-122.2
2,40,20,47.6,-117.4
2,40,20,47.7,-117.4
3,50,20,47.5,-122.2
3,45,21,47.4,-122.3
2,50,21,47.7,-122.1
2,50,21,47.7,-122.1
3,50,21,47.6,-122.3
2,50,21,47.6,-122.3
2,45,21,47.7,-122.3
2,45,21,47.8,-122.3
3,45,21,47.3,-122.3
2,45,22,47.2,-122.3
3,45,21,47.5,-122.2
2,45,22,47.7,-122.3
3,45,22,47.8,-122.3
3,50,23,47.6,-122.3
2,50,23,47.5,-122.3
3,45,5,47.6,-122.3
3,45,6,47.8,-122.2
3,50,11,47.7,-122.3
3,50,11,47.6,-122.3
2,50,12,47.4,-122
2,45,15,47.3,-122.2
3,45,18,47.7,-122.2
2,45,19,47.7,-122.1
3,45,20,47.5,-122.2
3,45,22,47.6,-122.2
3,45,22,47.2,-122.5
3,45,23,47.2,-122.5
2,45,2,47.4,-122.2
2,45,2,48,-122.1
3,40,3,47,-122.9
3,45,3,46.1,-122.9
3,40,3,47.2,-122.5
3,45,3,47.4,-122.3
2,40,4,47.9,-122.8
2,40,5,47.5,-122.3
3,40,6,47.7,-122.2
2,35,8,47.1,-122.3
2,40,9,47.6,-122.3
2,45,16,47.5,-122.2
3,35,20,47.7,-122.2
3,35,21,47.5,-122.2
2,35,23,47.6,-122.3
2,35,2,47.6,-122.6
2,40,4,47.7,-122.3
2,40,5,47.5,-122.3
2,35,8,47.7,-122.4
3,35,9,47.9,-122.2
2,35,10,48.1,-122.1
2,35,10,47.7,-122.3
2,30,10,47.7,-117.4
2,35,10,47.6,-122.3
2,35,10,47.3,-122.2
3,35,10,46.6,-122.9
3,35,10,46.5,-122.9
2,35,10,48,-122.2
3,35,11,46.5,-122.9
3,35,11,47.5,-122.3
2,30,11,47.8,-117.4
3,35,11,47.9,-122.2
3,35,11,46.5,-122.9
2,40,12,47.6,-122.3
3,35,12,47.8,-122.3
2,40,12,47.6,-122.3
2,30,12,47.7,-117.4
3,40,13,47.6,-122.3
2,40,14,47.7,-122.3
2,40,14,47.7,-122.3
2,40,14,47.7,-122.3
2,40,15,47.6,-122.3
2,40,15,47.3,-122.3
2,40,15,47.6,-122.3
2,40,15,47.6,-122.3
2,35,17,47.3,-122.3
2,40,17,47.6,-122.3
2,35,17,47.6,-122.3
2,35,18,47.1,-122.4
3,35,18,47.9,-122.3
3,35,18,47.9,-122.2
3,35,18,47.8,-122.3
2,30,18,47.7,-117.4
3,40,19,47.6,-122.3
2,35,19,47.5,-122.3
2,35,20,47.3,-122.6
3,35,20,47.3,-122.3
3,35,20,47.6,-122.3
2,35,20,47.3,-122.3
3,35,22,47.3,-122.6
3,35,23,47.9,-122.2
3,30,1,48.1,-122.2
2,35,2,47.3,-122.6
2,35,2,47.7,-122.4
2,35,4,47.4,-122.3
2,30,5,47.9,-121.9
2,35,5,47.6,-122.3
3,25,6,48.1,-122.2
2,35,7,47.6,-122.3
2,35,7,47.7,-122.3
3,35,9,47.1,-122.5
2,30,10,47.7,-117.4
2,35,10,47.7,-122.3
3,35,10,47.6,-122.2
3,35,10,47.6,-122.2
2,35,10,47.8,-122.5
2,35,10,47.8,-122.3
2,35,10,47.8,-122.7
2,35,10,47.1,-122.3
2,40,11,47.6,-122.3
2,30,11,47.7,-117.2
3,35,11,47.8,-122.2
2,30,12,47.7,-117.4
2,40,12,47.6,-122.3
2,40,12,47.5,-122.3
2,30,12,47.7,-117.4
2,40,12,47.7,-122.3
2,40,12,47.6,-122.3
2,40,12,47.6,-122.3
2,40,12,47.5,-122.3
3,40,13,47.1,-122.6
2,40,13,47.7,-122.3
3,35,13,47.8,-122.2
2,35,14,48,-122.5
2,40,14,47.6,-122.3
2,40,14,47.7,-122.3
2,40,15,47.3,-122.2
2,30,16,47.7,-117.3
2,40,17,47.6,-122.3
2,35,17,47.8,-122.1
2,35,17,47.7,-122.4
3,30,18,47.7,-122.3
3,35,19,47.5,-122.2
2,35,20,47.5,-122.3
2,35,20,47.6,-122.3
2,35,20,47.7,-122.3
2,30,20,47.4,-122.1
2,20,21,47.6,-117.4
3,35,21,47.6,-122.3
2,25,21,47.3,-122.3
3,30,21,47.5,-122.2
2,25,21,48.1,-122.2
3,35,22,47.5,-122.3
3,35,21,47.6,-122.2
3,35,22,47.6,-122.3
3,35,22,47.6,-122.2
3,35,22,47.6,-122.2
2,30,23,47.5,-122.1
2,30,3,47.7,-122.3
3,30,3,47.5,-122.3
2,30,5,47.7,-122.3
2,30,6,47.7,-122.3
2,30,6,47.6,-122.3
2,25,8,47.8,-122.1
2,30,8,47.6,-122.3
3,30,8,47.5,-122.2
2,30,10,47.3,-123.1
3,35,10,47.2,-122.4
3,30,10,47.3,-122.3
2,35,10,47.5,-122.3
2,25,10,47.7,-117.4
2,35,11,47.7,-122.4
2,30,11,47.8,-122.3
3,25,11,47.7,-117.4
2,35,11,47.7,-122.3
3,35,11,47.2,-122.5
2,35,12,47.6,-122.3
2,35,12,46.8,-123.1
2,40,13,47.5,-122.3
3,30,13,47.8,-122.3
2,40,13,47.5,-122.3
2,35,13,46.8,-122.9
2,40,14,47.6,-122.2
2,35,14,47.2,-122.3
2,35,14,47.2,-122.2
3,40,15,47.5,-122.2
2,30,15,47.7,-117.4
2,35,15,47.6,-122.3
3,35,16,47.6,-122.2
3,35,16,47.6,-122.3
3,35,16,47.5,-122.2
2,35,18,47.5,-122.2
2,30,18,48,-122
2,35,18,47.7,-122.3
2,25,18,47.7,-117.4
3,30,18,47.2,-122.4
3,35,18,47.5,-122.3
3,35,18,47.5,-122.3
3,30,18,47.7,-122.2
2,30,18,48,-122.2
2,30,19,47.7,-122.2
3,30,20,47.2,-122.4
3,30,20,48,-122.2
3,35,20,47.5,-122.3
2,25,20,47.3,-122.3
2,20,20,47.7,-117.4
3,35,21,47.6,-122.3
2,25,22,48.1,-122
2,35,22,47.5,-122.3
2,30,1,47.1,-123
2,35,3,47.6,-122.3
3,35,3,47.6,-122.3
3,35,4,47.6,-122.3
2,35,7,47.6,-122.3
3,35,9,47.6,-122.3
2,35,10,47.8,-122.2
2,25,11,47.7,-117.4
3,40,11,47.6,-122.2
2,40,12,47.6,-122.3
2,40,13,47.6,-122.3
3,40,13,47.6,-122.2
2,30,14,46.1,-122.9
2,40,15,47.6,-122.3
2,25,15,47.7,-117.4
2,35,16,47.5,-121.9
2,35,17,47.6,-122.3
2,30,18,48.1,-122.1
2,20,18,47.7,-117.4
2,35,18,47.6,-122.3
2,35,19,47.7,-122.3
2,30,19,47.1,-122.2
2,35,20,47.7,-122.3
2,30,20,47.1,-122.2
2,30,20,48.1,-122.2
2,30,20,47.7,-122.3
2,30,20,47,-122.4
2,30,21,46.9,-122.7
2,35,21,47.7,-122.4
3,30,21,47.4,-122.3
2,30,21,46.8,-122.2
3,35,21,47.6,-122.2
3,35,21,47.7,-122.3
2,30,21,47.2,-122.4
2,30,22,47,-123.6
3,35,21,47.7,-122.3
2,30,22,46.9,-122.3
2,30,23,47.3,-122.3
2,30,0,47.1,-123.1
3,30,1,47.8,-122.3
3,30,1,47.5,-122.3
2,30,2,47.4,-122.6
2,30,3,47.7,-122.3
2,30,3,47.3,-122.3
2,30,3,47.8,-122.1
2,35,4,47.5,-122.3
3,35,4,47.7,-122.3
2,35,5,47.7,-122.3
2,35,6,47.6,-122.3
3,35,5,47.6,-122.3
2,30,6,47.9,-122.1
2,35,7,47.6,-122.3
2,35,7,47.6,-122.3
3,30,7,47.9,-122.2
2,35,8,47.6,-122.3
2,35,9,47.7,-122.4
3,35,9,47.7,-122.3
2,35,9,48,-122.1
2,35,10,47.7,-122.1
2,35,11,47.8,-122.9
3,35,12,47.5,-121.9
2,35,12,47.9,-122.2
2,40,12,48.2,-122.5
3,35,12,47.5,-121.8
2,35,13,48,-122.2
2,35,13,47.6,-122.3
2,35,14,47.4,-122
3,35,17,47.5,-121.9
2,20,17,47.7,-117.5
3,35,17,47.6,-122.3
2,35,18,48,-122.1
2,35,18,47.6,-122.3
2,20,18,47.7,-117.4
2,20,18,47.7,-117.4
2,30,20,47.9,-122.2
2,35,20,47.6,-122.1
2,35,20,47.6,-122.3
2,35,21,47.7,-122.3
2,35,21,47.7,-122.3
2,35,21,47.6,-122.3
3,35,21,47.6,-122.2
2,35,21,47.9,-122.1
3,20,21,46.6,-120.5
3,35,22,47.5,-121.8
3,35,4,47.5,-121.8
3,35,5,47.2,-122.4
2,40,7,47.3,-122.5
3,45,13,47.4,-122.3
2,45,16,47.6,-122.3
3,40,16,47.8,-122.3
3,40,17,47.4,-122.3
3,45,17,47.6,-122.2
2,40,17,47.6,-122.2
3,40,20,47.9,-122.2
3,40,21,47.2,-122.5
3,45,2,47.7,-122.2
2,40,6,47.5,-122.2
2,40,11,46.7,-123
3,40,14,47.4,-122.3
2,40,20,47.6,-122.4
2,40,5,47.9,-122.3
2,40,5,47.5,-122.2
2,40,8,47.6,-122.4
2,40,9,47.2,-122.2
2,40,9,47.4,-122.2
2,40,10,48,-122.1
2,30,10,47.8,-117.4
2,45,10,47.4,-122
2,45,10,47.3,-122.3
3,30,11,45.9,-119.3
2,25,11,47.7,-117.4
2,40,11,47.2,-122.5
3,40,11,47.5,-122.3
2,45,11,46.6,-122.2
3,45,13,47.2,-122.4
2,45,13,47.7,-122.3
2,30,15,47.7,-117.4
3,40,17,47.7,-122.2
3,40,18,47.5,-122.3
3,40,19,47.6,-122.3
3,40,19,47.6,-122.3
3,40,19,47.6,-122.3
2,40,20,47.6,-122.3
3,35,20,47.8,-122.2
3,40,20,47.5,-122.3
3,40,20,47.6,-122.2
2,25,20,47.7,-117.4
3,40,21,47.6,-122.2
2,40,21,47.7,-122.1
3,35,21,47.8,-122.2
3,40,22,47.3,-122.3
3,40,22,47.6,-122.3
2,35,23,47.9,-122.3
3,40,0,47.3,-122.3
3,35,1,47.3,-122.3
3,40,3,47.7,-122.3
2,35,4,47.7,-122.3
2,35,5,47.7,-122.3
2,35,5,47.5,-122.3
3,35,6,47.6,-122.3
3,35,6,47.6,-122.3
2,35,7,47.5,-122.3
3,35,10,47.8,-122.2
2,40,11,47.6,-122.4
2,40,11,47.6,-122.3
2,35,11,47.8,-122.3
2,20,11,47.7,-117.4
2,40,11,47.6,-122.3
2,20,11,47.7,-117.4
2,40,11,47.6,-122.4
2,40,13,47.6,-122.3
3,35,13,48,-122.2
2,40,13,47.7,-122.3
2,40,14,47.7,-122.4
2,40,14,47.6,-122.3
2,40,15,47.6,-122.4
2,40,15,47.6,-122.4
2,40,16,47.5,-122.1
2,15,16,47.7,-117.4
2,15,16,47.7,-117.3
2,35,17,47.3,-122.3
2,35,18,47.7,-122.4
2,35,18,47.3,-122.3
2,35,18,47.7,-122.4
3,35,18,47.6,-122.2
2,35,18,47.1,-122.4
2,15,18,47.6,-117.5
3,35,18,47.5,-122.3
2,10,19,47.7,-117.4
2,35,19,47.6,-122.2
3,15,19,47.3,-121.3
3,35,20,47.6,-122.2
2,35,20,47.7,-122.3
2,35,21,47.3,-122.2
2,35,22,47.6,-122.2
3,30,22,47.8,-122.3
2,35,22,47,-122.7
3,25,0,48.2,-122.2
2,35,2,47.7,-122.3
2,35,5,47.7,-122.3
2,35,6,47.6,-122.3
2,30,8,47.7,-122.3
3,35,9,47.2,-122.5
1,35,9,47.4,-122.1
2,35,10,47.6,-122.3
3,30,10,47.4,-122.3
2,35,10,47.5,-121.9
2,35,10,47.6,-122.3
3,30,10,47.8,-122.3
2,10,11,47.7,-117.3
3,35,11,47.4,-122.3
2,10,11,47.5,-117.5
2,15,12,47.7,-117.4
2,35,12,47.5,-122.3
3,40,13,47.6,-122.3
2,40,12,47.6,-122.2
3,40,13,47.6,-122.3
2,35,13,47.6,-122.3
3,35,15,47.6,-122.3
3,35,16,47.6,-122.3
3,35,16,47.5,-122.2
2,35,17,47.5,-122.4
2,35,18,47.6,-122.3
2,30,18,47.3,-122.3
3,35,19,47.7,-122.3
2,35,20,47.6,-122.3
3,35,20,47.2,-122.5
2,30,20,47.8,-122.3
2,35,21,47.7,-122.3
3,35,21,47.4,-122.3
3,35,22,47.5,-121.8
2,35,22,47.4,-122.1
2,35,22,47.2,-122.4
2,35,4,47.6,-122.3
2,35,8,47.6,-122.3
2,35,8,47.6,-122.3
3,20,9,47.7,-117.4
3,35,9,47.5,-122.2
3,20,9,47.7,-117.2
3,35,10,47.6,-122.3
3,15,10,47.6,-117.5
2,35,10,47.6,-122.3
3,35,10,47.6,-122.2
2,30,10,48.1,-122.1
2,15,10,47.6,-117.4
3,20,10,47.7,-117.3
2,35,11,47.6,-122.4
3,35,11,47.6,-122.3
2,20,11,47.9,-117.4
2,20,11,48,-117.5
2,20,11,47.7,-117.4
3,30,12,46.1,-122.9
3,35,14,47.6,-122.2
2,20,15,47.7,-117.4
2,35,17,47.6,-122.3
2,35,17,47.7,-122.3
2,30,19,47.8,-122.3
2,20,19,47.6,-117.4
3,30,20,47.1,-122.6
2,35,20,47.3,-122.3
2,35,20,47.3,-122.3
2,20,20,47.7,-117.2
3,30,20,47.1,-122.8
2,35,21,47.6,-122.3
2,20,21,47.6,-117.4
3,35,1,47.5,-122.2
2,30,5,47.4,-122.2
2,30,6,47.6,-122.3
2,30,6,47.5,-122.3
2,30,6,47.6,-122.3
2,30,6,47.6,-122.3
2,30,7,47.6,-122.3
2,30,7,47.6,-122.3
2,35,11,47.7,-122.5
2,35,13,47.6,-122.3
2,35,14,47.3,-122.3
2,35,14,47.6,-122.3
2,35,14,47.3,-122.3
3,35,14,47.6,-122.3
3,35,14,47.6,-122.3
3,35,15,47.4,-122.3
2,20,15,47.7,-117.4
3,35,15,47.2,-122.5
3,30,15,47.7,-122.3
2,35,15,47.7,-122.3
2,20,15,47.7,-117.2
2,35,16,47.6,-122.3
2,20,16,47.7,-117.3
2,30,17,47.7,-122.3
3,30,17,47.7,-122.3
2,30,17,47.7,-122.3
2,30,17,47.9,-122.2
3,25,18,47.8,-122.3
3,30,18,47.5,-122.2
2,15,19,47.7,-117.4
2,25,19,47.9,-122.1
3,20,20,47.1,-122.7
2,25,20,47.9,-122.1
3,25,20,47.9,-122.2
2,25,20,47.7,-122.4
2,5,20,47.7,-117.3
2,25,20,47.9,-122.3
2,25,20,47.6,-122.3
2,25,21,47.8,-122.1
2,5,21,47.7,-117.2
2,25,21,47.6,-122.3
3,25,22,47.9,-122.2
2,20,23,46.9,-122.3
3,25,0,47.7,-122.3
3,25,2,47.5,-122.3
3,25,2,47.9,-122.2
2,25,9,47.3,-122.3
3,5,10,47.5,-117.7
2,35,13,47.6,-122.3
2,30,13,47.7,-122.3
2,35,15,47.7,-122.3
2,30,17,47.5,-122.4
3,30,22,47.2,-122.5
2,30,0,47.6,-122.3
2,30,1,47.3,-122.5
2,30,1,47.6,-122.4
2,30,1,47.9,-122.2
3,30,1,48.1,-122.2
3,40,15,47.6,-122.3
3,40,15,47.6,-122.3
3,35,19,47.4,-122.3
2,35,21,48,-122.1
3,35,21,48,-122.2
2,35,23,47.6,-122.3
3,35,23,47.8,-122.3
2,35,1,47.4,-122.1
3,35,4,48,-122.2
2,35,5,47.6,-122.3
3,40,7,47.4,-122.3
3,40,8,47.4,-122.3
2,40,9,47.5,-121.9
3,40,10,47.7,-122.3
3,40,10,47.6,-122.3
2,40,10,46.2,-123.2
3,45,10,47.5,-122.2
2,40,10,47.5,-122.3
2,45,10,47.6,-122.3
2,45,10,47.7,-122.3
3,45,10,47.4,-122.3
2,40,11,47.8,-122.2
3,30,10,47.2,-120.9
2,45,11,47.7,-122.3
3,45,11,47.5,-122.3
2,40,11,47.8,-122.1
3,45,11,47.6,-122.3
2,45,11,47.6,-122.3
3,40,12,46.2,-119.6
2,45,13,47.6,-122.4
2,45,14,47.6,-122.3
2,45,14,47.6,-122.3
2,45,14,47.7,-122.3
3,40,14,47.7,-122.3
2,45,16,47.6,-122.2
2,45,16,47.5,-122.3
2,45,16,47.2,-122.3
2,35,17,47.7,-117.5
2,35,17,47.7,-117.4
2,45,17,47.7,-122.3
2,45,18,47.7,-122.4
3,45,18,47.6,-122.3
3,45,18,47.7,-122.2
2,45,18,47.6,-122.3
3,45,18,47.6,-122.3
2,45,19,47.6,-122.3
2,45,18,47.6,-122.3
2,45,19,47.6,-122
2,45,19,47.6,-122.3
2,45,20,47.5,-122.3
3,40,20,47.7,-122.3
2,35,20,47.7,-117.4
2,45,20,47.6,-122.5
3,45,21,47.5,-122.3
3,40,21,47,-122.9
2,45,21,47.5,-122.4
3,40,21,47.5,-122.3
3,40,21,48,-122.2
2,40,21,47.8,-122.3
3,40,21,47.4,-122.3
2,40,21,47.8,-122.1
2,45,21,47.6,-122
2,45,21,47.5,-122.3
2,45,21,47.5,-122.1
