Severity,Temperature,General_Time,Latitude,Longitude
3,50,16,47.00861,-122.907059
3,45,17,47.014576,-122.905884
2,50,17,47.649269,-122.304649
2,45,17,46.858688,-123.257339
2,50,17,47.614941,-122.328667
2,50,18,47.661308,-122.317719
3,45,18,47.881916,-122.233322
2,45,18,48.18811,-122.19548
2,40,19,47.653584,-117.395218
2,40,19,47.686249,-117.395157
2,45,20,47.259686,-122.292557
3,45,20,47.603184,-122.183823
2,40,20,47.035965,-122.742828
2,45,20,47.607956,-122.328491
2,40,20,47.564072,-122.37619
2,40,21,47.540462,-122.342461
2,40,21,47.638245,-122.325905
2,45,21,47.378101,-122.244553
2,40,21,47.700508,-117.364838
2,40,21,47.699364,-117.357422
2,40,22,47.671234,-122.337181
3,40,23,47.881916,-122.233322
3,40,1,47.881916,-122.233322
3,45,1,47.484028,-122.196373
2,40,2,47.353683,-122.244614
2,40,2,47.377979,-122.244316
2,40,6,47.719589,-122.344933
2,40,6,47.705608,-122.301636
3,40,9,47.804951,-122.30957
3,40,9,47.83205,-122.262749
2,45,9,47.358044,-122.120934
2,45,9,47.372723,-122.09182
2,45,9,47.372723,-122.09182
2,45,10,47.612389,-122.340904
3,45,10,47.549587,-122.313454
2,45,11,47.301308,-122.313377
3,45,11,47.507854,-122.281776
2,45,12,47.701302,-122.323143
2,45,12,47.645657,-122.349464
2,45,12,47.612934,-122.30365
2,45,12,47.704639,-122.28083
2,45,13,47.924442,-122.284821
2,45,13,47.612946,-122.302711
2,45,13,47.273026,-122.259041
2,45,15,47.702896,-122.352737
2,45,14,47.612934,-122.30365
2,45,15,47.670166,-122.376205
2,45,15,47.616451,-122.34977
2,45,15,47.713696,-122.285194
2,45,16,47.70858,-122.317856
2,45,16,47.865654,-121.990669
2,40,16,47.854248,-122.590668
2,45,16,47.686771,-122.393044
2,45,16,47.707577,-122.335587
3,45,18,47.571735,-122.32016
3,45,17,47.799538,-122.314308
2,45,18,47.710194,-122.296219
2,45,18,47.486454,-122.195267
2,45,18,47.48494,-122.191132
2,35,18,47.700722,-117.44323
2,45,18,47.610275,-122.322922
3,45,18,47.46777,-122.217903
3,45,19,47.394516,-122.291512
2,45,20,47.515739,-122.735046
3,45,20,47.118553,-122.557037
2,35,20,47.668591,-117.381203
2,45,20,47.863899,-122.282402
2,45,20,47.795853,-122.321983
2,45,20,47.125656,-122.293068
2,45,20,47.821487,-122.233627
2,45,21,47.232647,-122.463326
2,45,21,47.672188,-122.100517
3,45,22,47.279125,-122.310692
2,45,23,47.644257,-122.304405
